Type data;tSchool;Jaar;Totaal gediplomeerden;Naar WO;Naar HBO;Naar MBO;Naar VAVO;Geen bekostigd onderwijs;Pct WO;Pct HBO;Pct geen bekostigd
School;01. 13652-20AA-000;2024;84;59;3;1;2;19;70;4;23
School;02. 41208-20CK-000;2024;99;81;2;0;0;16;82;2;16
School;03. 13556-21AB-000;2024;102;42;0;0;0;60;41;0;59
School;04. 40776-01ET-000;2024;101;51;0;0;1;49;50;0;49
School;05. 13556-21AF-000;2024;127;73;3;0;0;51;57;2;40
School;06. 42818-20QU-000;2024;75;59;3;0;0;13;79;4;17
School;07. 13554-20RM-000;2024;98;67;5;0;1;25;68;5;26
School;08. 41211-02FY-007;2024;83;52;15;0;1;15;63;18;18
School;09. 42992-03AM-000;2024;144;89;5;0;0;50;62;3;35
School;10. 40856-02QP-000;2024;46;32;5;0;0;9;70;11;20
School;11. 41513-20KZ-000;2024;84;67;0;0;0;17;80;0;20
School;13. 41386-19ZU-000;2024;92;67;9;2;0;14;73;10;15
School;14. 41525-20AI-000;2024;114;92;4;0;0;18;81;4;16
School;15. 41360-20LU-000;2024;103;74;1;0;1;27;72;1;26
School;16. 33944-02DQ-000;2024;100;56;4;0;0;40;56;4;40
School;17. 42510-20BV-000;2024;124;78;6;0;1;39;63;5;31
School;18. 31240-02CR-000;2024;94;55;6;1;1;31;59;6;33
School;19. 13556-20QY-000;2024;102;54;1;0;0;47;53;1;46
School;21. 13556-02DW-000;2024;70;49;9;0;0;12;70;13;17
School;22. 13556-20AJ-000;2024;97;67;6;0;1;23;69;6;24
School;23. 13749-20DD-000;2024;139;80;2;0;1;56;58;1;40
School;25. 41347-14WI-000;2024;46;33;4;0;1;8;72;9;17
School;26. 13603-20DL-002;2024;143;86;10;0;2;45;60;7;31
School;27. 42505-20DP-000;2024;134;90;5;0;0;39;67;4;29
School;27. 42505-30GD-000;2024;142;88;4;0;0;50;62;3;35
School;28. 41211-17JY-000;2024;99;59;13;0;1;26;60;13;26
School;29. 41285-20CI-000;2024;150;113;3;1;0;33;75;2;22
School;30. 42992-02QO-000;2024;115;88;9;0;0;18;77;8;16
School;31. 41775-15SC-000;2024;147;114;2;0;0;31;78;1;21
School;32. 20151-14QT-000;2024;73;52;2;0;0;19;71;3;26
School;33. 41568-20DC-000;2024;63;47;6;1;2;7;75;10;11
School;34. 40996-04DS-000;2024;49;41;0;1;0;7;84;0;14
School;35. 40094-16PA-000;2024;136;87;6;0;0;43;64;4;32
School;36. 41475-15JM-000;2024;168;109;1;0;0;58;65;1;35
School;37. 13556-20DG-000;2024;64;41;2;0;0;21;64;3;33
School;38. 42623-20CF-000;2024;102;74;4;0;0;24;73;4;24
School;41. 42620-01FP-004;2024;108;72;7;0;1;28;67;6;26
School;42. 40586-30GC-000;2024;133;56;4;0;1;72;42;3;54
School;43. 42621-14RF-006;2024;139;82;1;0;0;56;59;1;40
School;44. 20151-31RY-000;2024;76;60;8;1;2;5;79;11;7
School;45. 99048-19HV-000;2024;66;36;9;0;0;21;55;14;32
School;46. 41298-02VO-000;2024;78;62;0;0;0;16;79;0;21
