Type data;tSchool;Schooljaar;Aantal leerlingen;Aantal afstromers;Aantal zittenblijvers;Aantal opstromers;Pct zittenblijvers
School;04. 40776-01ET-000;23-24;783;<5;23;0;2.9
School;41. 42620-01FP-004;23-24;629;10;40;0;6.4
School;18. 31240-02CR-000;23-24;677;7;40;0;5.9
School;16. 33944-02DQ-000;23-24;754;6;19;0;2.5
School;21. 13556-02DW-000;23-24;555;8;36;0;6.5
School;08. 41211-02FY-007;23-24;341;5;31;0;9.1
School;30. 42992-02QO-000;23-24;645;6;56;0;8.7
School;10. 40856-02QP-000;23-24;399;7;40;0;10.0
School;46. 41298-02VO-000;23-24;766;<5;37;0;4.8
School;09. 42992-03AM-000;23-24;835;15;46;0;5.5
School;34. 40996-04DS-000;23-24;431;7;22;0;5.1
School;32. 20151-14QT-000;23-24;548;6;34;0;6.2
School;43. 42621-14RF-006;23-24;807;8;28;0;3.5
School;25. 41347-14WI-000;23-24;469;<5;41;0;8.7
School;36. 41475-15JM-000;23-24;1135;<5;45;0;4.0
School;31. 41775-15SC-000;23-24;1107;12;47;0;4.2
School;35. 40094-16PA-000;23-24;947;<5;27;0;2.9
School;28. 41211-17JY-000;23-24;659;<5;52;0;7.9
School;45. 99048-19HV-000;23-24;401;11;35;0;8.7
School;13. 41386-19ZU-000;23-24;651;9;51;0;7.8
School;01. 13652-20AA-000;23-24;759;13;98;0;12.9
School;14. 41525-20AI-000;23-24;655;10;32;0;4.9
School;22. 13556-20AJ-000;23-24;757;7;64;0;8.5
School;17. 42510-20BV-000;23-24;785;8;63;0;8.0
School;38. 42623-20CF-000;23-24;441;6;29;0;6.6
School;29. 41285-20CI-000;23-24;1006;6;81;0;8.1
School;02. 41208-20CK-000;23-24;838;6;51;0;6.1
School;33. 41568-20DC-000;23-24;537;15;46;0;8.6
School;23. 13749-20DD-000;23-24;708;<5;38;0;5.4
School;37. 13556-20DG-000;23-24;570;9;45;0;7.9
School;26. 13603-20DL-002;23-24;456;15;50;0;11.0
School;27. 42505-20DP-000;23-24;880;6;33;0;3.8
School;11. 41513-20KZ-000;23-24;726;12;57;0;7.9
School;15. 41360-20LU-000;23-24;827;5;40;0;4.8
School;06. 42818-20QU-000;23-24;576;12;45;0;7.8
School;19. 13556-20QY-000;23-24;822;5;37;0;4.5
School;07. 13554-20RM-000;23-24;752;5;80;0;10.6
School;03. 13556-21AB-000;23-24;802;<5;34;0;4.2
School;05. 13556-21AF-000;23-24;843;7;53;0;6.3
School;42. 40586-30GC-000;23-24;826;7;34;0;4.1
School;27. 42505-30GD-000;23-24;868;<5;28;0;3.2
School;44. 20151-31RY-000;23-24;653;21;33;0;5.1
School;04. 40776-01ET-000;24-25;781;6;38;0;4.9
School;41. 42620-01FP-004;24-25;622;7;31;0;5.0
School;18. 31240-02CR-000;24-25;691;12;38;0;5.5
School;16. 33944-02DQ-000;24-25;778;<5;20;0;2.6
School;21. 13556-02DW-000;24-25;550;<5;28;0;5.1
School;08. 41211-02FY-007;24-25;306;<5;22;0;7.2
School;30. 42992-02QO-000;24-25;626;5;62;0;9.9
School;10. 40856-02QP-000;24-25;369;5;28;0;7.6
School;46. 41298-02VO-000;24-25;766;6;29;0;3.8
School;09. 42992-03AM-000;24-25;747;6;32;0;4.3
School;34. 40996-04DS-000;24-25;396;<5;21;0;5.3
School;32. 20151-14QT-000;24-25;542;<5;41;0;7.6
School;43. 42621-14RF-006;24-25;785;6;37;0;4.7
School;25. 41347-14WI-000;24-25;448;<5;38;0;8.5
School;36. 41475-15JM-000;24-25;1173;<5;29;0;2.5
School;31. 41775-15SC-000;24-25;1078;8;30;0;2.8
School;35. 40094-16PA-000;24-25;997;10;43;0;4.3
School;28. 41211-17JY-000;24-25;655;6;46;0;7.0
School;45. 99048-19HV-000;24-25;663;39;62;0;9.4
School;13. 41386-19ZU-000;24-25;649;9;51;0;7.9
School;01. 13652-20AA-000;24-25;689;6;82;0;11.9
School;14. 41525-20AI-000;24-25;653;12;22;0;3.4
School;22. 13556-20AJ-000;24-25;763;11;65;0;8.5
School;17. 42510-20BV-000;24-25;793;9;42;0;5.3
School;38. 42623-20CF-000;24-25;426;6;34;0;8.0
School;29. 41285-20CI-000;24-25;1001;<5;84;0;8.4
School;02. 41208-20CK-000;24-25;900;10;49;0;5.4
School;33. 41568-20DC-000;24-25;534;8;39;0;7.3
School;23. 13749-20DD-000;24-25;650;<5;30;0;4.6
School;37. 13556-20DG-000;24-25;586;8;42;0;7.2
School;26. 13603-20DL-002;24-25;470;6;38;0;8.1
School;27. 42505-20DP-000;24-25;832;<5;20;0;2.4
School;11. 41513-20KZ-000;24-25;752;9;49;0;6.5
School;15. 41360-20LU-000;24-25;811;7;43;0;5.3
School;06. 42818-20QU-000;24-25;575;<5;45;0;7.8
School;19. 13556-20QY-000;24-25;825;5;15;0;1.8
School;07. 13554-20RM-000;24-25;712;10;57;0;8.0
School;03. 13556-21AB-000;24-25;805;<5;43;0;5.3
School;05. 13556-21AF-000;24-25;829;14;31;0;3.7
School;42. 40586-30GC-000;24-25;828;5;27;0;3.3
School;27. 42505-30GD-000;24-25;891;10;26;0;2.9
School;44. 20151-31RY-000;24-25;743;39;36;0;4.8
